"id","doc_id","HDI","HDI_Level","CountryRegionMulti","Averaged","GPE","token","Citations","False_Positive","False_Negative","Titles","Journals","SJR","titles_cnt","titles_has_country","pos","prop"
10891,"text10891",0.951,"veryhigh","C","N","australia","australia",1,"N","Y","the shifting significance of child endowment records at the national archives of australia","archival science",0.714,90,1,82,0.911111111111111
10902,"text10902",0.941,"veryhigh","C","N","netherlands","dutch",0,"N","Y","the dutch comptoir as information centre","archival science",0.714,40,1,5,0.125
10866,"text10866",0.822,"veryhigh","C","N","russia","russian",0,"N","Y","two archives of the russian revolution","archival science",0.714,38,1,21,0.552631578947368
10911,"text10911",0.905,"veryhigh","C","N","spain","spanish",10,"N","Y","spanish historic archives’ use of websites as a management transparency vehicle","archival science",0.714,79,1,1,0.0126582278481013
13049,"text13049",0.937,"veryhigh","C","N","belgium","flanders",3,"N","Y","how arbitrary are the weights assigned to books in performance-based research funding? an empirical assessment of the weight and size of monographs in flanders","aslib journal of information management",0.535,159,1,152,0.955974842767296
12990,"text12990",0.768,"high","C","N","china","chinese",2,"N","Y","task design and assignment of full-text generation on mass chinese historical archives in digital humanities: a crowdsourcing approach","aslib journal of information management",0.535,134,1,60,0.447761194029851
12987,"text12987",0.796,"high","R","N","eu","europe",3,"N","Y","reference publication year spectroscopy (rpys) of computer science papers from eastern europe","aslib journal of information management",0.535,93,1,88,0.946236559139785
13027,"text13027",0.942,"veryhigh","C","N","germany","german",6,"N","Y","information dissemination related to the sustainable development goals on german local governmental websites","aslib journal of information management",0.535,108,1,75,0.694444444444444
12989,"text12989",0.705,"high","C","N","indonesia","indonesian",11,"N","Y","crowdfunding in digital humanities: some evidence from indonesian social enterprises","aslib journal of information management",0.535,84,1,56,0.666666666666667
12969,"text12969",NA,NA,NA,NA,NA,"nordic",3,"N","Y","open data and its peers: understanding promising harbingers from nordic europe","aslib journal of information management",0.535,78,1,66,0.846153846153846
12956,"text12956",0.535,"low","C","N","nigeria","nigeria",3,"N","Y","“being on the wrong side of the digital divide”: seeking technological interventions for education in northeast nigeria","aslib journal of information management",0.535,119,1,113,0.949579831932773
12979,"text12979",0.713,"high","C","N","south africa","witwatersrand",8,"N","Y","assessment of the appraisal of records: case of the university of witwatersrand and the university of venda","aslib journal of information management",0.535,107,1,67,0.626168224299065
13037,"text13037",0.905,"veryhigh","C","N","spain","spanish",8,"N","Y","relation between internet financial information disclosure and internal control in spanish local governments","aslib journal of information management",0.535,108,1,84,0.777777777777778
13007,"text13007",0.921,"veryhigh","C","N","us","americans",2,"N","Y","promoting access to health information: a method to support older african americans with diabetes","aslib journal of information management",0.535,97,1,75,0.77319587628866
1536,"text1536",0.774,"high","C","N","iran","persian",8,"N","Y","mapping the political landscape of persian twitter: the case of 2013 presidential election","big data and society",2.04,90,1,36,0.4
1514,"text1514",NA,NA,NA,NA,NA,"nordic",14,"N","Y","the nordic data imaginary","big data and society",2.04,25,1,5,0.2
1527,"text1527",0.822,"veryhigh","C","N","russia","russian",3,"N","Y","geopolitics of reproduction: investigating technological mediation of maternity tourism on the russian web","big data and society",2.04,106,1,96,0.905660377358491
12317,"text12317",0.929,"veryhigh","C","N","uk","uk",11,"N","Y","determinants of perceived information need for emerging ict adoption: a study of uk small service businesses","bottom line",0.563,108,1,82,0.759259259259259
12796,"text12796",0.873,"veryhigh","M","Y","china,japan,korea","chinese",0,"N","Y","assessing repetitive work when processing chinese, japanese, and korean materials","collection management",0.536,81,1,43,0.530864197530864
12798,"text12798",0.921,"veryhigh","C","N","us","colorado",1,"N","Y","the suggest a library purchase program at the university of colorado boulder","collection management",0.536,76,1,61,0.802631578947368
6144,"text6144",0.749,"high","R","N","asia","asia",4,"N","Y","library user education as a window to understand inquiry-based learning in the context of higher education in asia: a comparative study between peking university and the university of tsukuba","college and research libraries",1.113,191,1,111,0.581151832460733
6153,"text6153",0.936,"veryhigh","C","N","canada","canadian",2,"N","Y","academic freedom and librarians’ research and scholarship in canadian universities","college and research libraries",1.113,82,1,62,0.75609756097561
6129,"text6129",0.749,"high","R","N","east asia","east",3,"N","Y","citing east asia: a citation study on the use of east asian materials in east asian studies dissertations","college and research libraries",1.113,105,1,8,0.0761904761904762
8356,"text8356",0.768,"high","C","N","china","chinese",8,"N","Y","modeling chinese teachers' attitudes toward using technology for teaching with a sem approach","computers in the schools",0.919,93,1,10,0.10752688172043
8349,"text8349",0.875,"veryhigh","C","N","saudi arabia","saudi",7,"N","Y","exploring saudi computer science teachers’ conceptual mastery level of computational thinking skills","computers in the schools",0.919,100,1,11,0.11
8348,"text8348",0.838,"veryhigh","C","N","turkey","turkey",7,"N","Y","an investigation of cyber wellness awareness: turkey secondary school students, teachers, and parents","computers in the schools",0.919,101,1,47,0.465346534653465
6732,"text6732",0.547,"low","R","N","africa","sub",14,"N","Y","enhancing ict for quality education in sub-saharan africa","education and information technologies",1.055,57,1,40,0.701754385964912
6481,"text6481",0.773,"high","M","Y","asia,eu","asia",24,"N","Y","self-reported tpack of teacher educators across six countries in asia and europe","education and information technologies",1.055,80,1,66,0.825
6815,"text6815",0.951,"veryhigh","C","N","australia","australian",13,"N","Y","design of a mobile-based learning management system for incorporating employment demands: case context of an australian university","education and information technologies",1.055,130,1,110,0.846153846153846
6774,"text6774",0.875,"veryhigh","C","N","bahrain","bahrain",7,"N","Y","measurement of e-services quality: an empirical study of university of bahrain","education and information technologies",1.055,78,1,72,0.923076923076923
6441,"text6441",0.895,"veryhigh","C","N","czech republic","czecha",1,"N","Y","the influence of the nearpod application on learning social geography in a grammar school in czecha","education and information technologies",1.055,99,1,94,0.94949494949495
6878,"text6878",0.73,"high","C","N","fiji","fiji",3,"N","Y","what’s your status? investigating the effects of social media on the students of fiji national university","education and information technologies",1.055,105,1,82,0.780952380952381
6749,"text6749",0.633,"medium","C","N","india","indian",18,"N","Y","factors affecting cloud computing adoption in the indian school education system","education and information technologies",1.055,80,1,51,0.6375
6537,"text6537",0.705,"high","C","N","indonesia","indonesian",43,"N","Y","the role of tpack in affecting pre-service language teachers’ ict integration during teaching practices: indonesian context","education and information technologies",1.055,123,1,106,0.861788617886179
6412,"text6412",0.72,"high","C","N","jordan","zataari",8,"N","Y","whatsapp supported language teacher development: a case study in the zataari refugee camp","education and information technologies",1.055,89,1,70,0.786516853932584
6918,"text6918",0.72,"high","C","N","jordan","jordan",2,"N","Y","social media networks and pedagogy at the university of jordan","education and information technologies",1.055,62,1,57,0.919354838709677
6645,"text6645",0.831,"veryhigh","C","N","kuwait","kuwaiti",4,"N","Y","the effectiveness of using interactive white boards in improving the arabic listening skills of undergraduates majoring in arabic language at kuwaiti universities","education and information technologies",1.055,162,1,143,0.882716049382716
6444,"text6444",0.692,"medium","C","N","kyrgyzstan","kyrgyz",4,"N","Y","kyrgyz learners’ and teachers’ experiences and perceptions related to ict use in high school courses","education and information technologies",1.055,100,1,1,0.01
6859,"text6859",0.803,"veryhigh","C","N","malaysia","malaysian",28,"N","Y","decision to adopt online collaborative learning tools in higher education: a case of top malaysian universities","education and information technologies",1.055,111,1,90,0.810810810810811
6874,"text6874",NA,NA,NA,NA,NA,"nordic",3,"N","Y","use of information and communications technology by teachers and students in biomedical laboratory science educations in the nordic countries","education and information technologies",1.055,141,1,126,0.893617021276596
6425,"text6425",0.535,"low","C","N","nigeria","nigerian",1,"N","Y","critical factors for implementing effective information governance in nigerian universities: a case study investigation","education and information technologies",1.055,119,1,71,0.596638655462185
6480,"text6480",0.535,"low","C","N","nigeria","nigeria",14,"N","Y","augmented reality instructional tool in enhancing geography learners academic performance and retention in osun state nigeria","education and information technologies",1.055,125,1,119,0.952
7014,"text7014",0.535,"low","C","N","nigeria","nigeria",17,"N","Y","the use of electronic resources by academic staff at the university of ilorin, nigeria","education and information technologies",1.055,86,1,80,0.930232558139535
6525,"text6525",0.816,"veryhigh","C","N","oman","omani",9,"N","Y","what leads to social learning? students’ attitudes towards using social media applications in omani higher education","education and information technologies",1.055,116,1,95,0.818965517241379
6772,"text6772",0.875,"veryhigh","C","N","saudi arabia","saudi",4,"N","Y","faculty at saudi electronic university attitudes toward using augmented reality in education","education and information technologies",1.055,92,1,12,0.130434782608696
6451,"text6451",0.713,"high","C","N","south africa","south",17,"N","Y","beyond limits: lecturers’ reflections on moodle uptake in south african universities","education and information technologies",1.055,84,1,59,0.702380952380952
6582,"text6582",0.713,"high","C","N","south africa","south",34,"N","Y","is moodle or whatsapp the preferred e-learning platform at a south african university? first-year students’ experiences","education and information technologies",1.055,119,1,62,0.521008403361345
6791,"text6791",0.713,"high","C","N","south africa","south",0,"N","Y","free doesn’t mean access to the wi-fi facility: the south african experience","education and information technologies",1.055,76,1,53,0.697368421052632
6494,"text6494",0.8,"veryhigh","C","N","thailand","thailand",18,"N","Y","does ict familiarity always help promote educational outcomes? empirical evidence from pisa-thailand","education and information technologies",1.055,100,1,93,0.93
6428,"text6428",0.838,"veryhigh","C","N","turkey","turkish",0,"N","Y","fostering intuitive competence in l2 for a better performance in eap writing through fraze.it in a turkish context","education and information technologies",1.055,113,1,100,0.884955752212389
6462,"text6462",0.838,"veryhigh","C","N","turkey","turkish",3,"N","Y","a critical deconstruction of computer-based test application in turkish state university","education and information technologies",1.055,88,1,65,0.738636363636364
6632,"text6632",0.838,"veryhigh","C","N","turkey","turkey",7,"N","Y","prospective middle school mathematics teachers’ points of view on the flipped classroom: the case of turkey","education and information technologies",1.055,107,1,102,0.953271028037383
6637,"text6637",0.838,"veryhigh","C","N","turkey","turkish",6,"N","Y","machine learning algorithm for grading open-ended physics questions in turkish","education and information technologies",1.055,78,1,72,0.923076923076923
6739,"text6739",0.838,"veryhigh","C","N","turkey","turkey",11,"N","Y","a new trend in preparing for foreign language exam (yds) in turkey: case of whatsapp in mobile learning","education and information technologies",1.055,103,1,61,0.592233009708738
6865,"text6865",0.838,"veryhigh","C","N","turkey","turkey",15,"N","Y","blended learning at pre-service teacher education in turkey: a systematic review","education and information technologies",1.055,80,1,54,0.675
6528,"text6528",0.911,"veryhigh","C","N","uae","ajman",5,"N","Y","the effect of blended learning on the achievement of hde students in the methods of teaching arabic language course and their attitudes towards its use at ajman university: a case study","education and information technologies",1.055,185,1,156,0.843243243243243
6547,"text6547",0.911,"veryhigh","C","N","uae","uae",0,"N","Y","antecedents to academic success in higher education institutions: the case of uae university","education and information technologies",1.055,92,1,79,0.858695652173913
6719,"text6719",0.911,"veryhigh","C","N","uae","ajman",4,"N","Y","to e-textbook or not to e-textbook? a quantitative analysis of the extent of the use of e-textbooks at ajman university from students’ perspectives","education and information technologies",1.055,147,1,104,0.707482993197279
6842,"text6842",0.911,"veryhigh","C","N","uae","uae",112,"N","Y","factors affecting the e-learning acceptance: a case study from uae","education and information technologies",1.055,66,1,64,0.96969696969697
6950,"text6950",0.911,"veryhigh","C","N","uae","uae",14,"N","Y","examining pre-service teachers’ acceptance of technology-rich learning environments: a uae case study","education and information technologies",1.055,101,1,88,0.871287128712871
7013,"text7013",0.911,"veryhigh","C","N","uae","uae",7,"N","Y","learning orientations of it higher education students in uae university","education and information technologies",1.055,71,1,58,0.816901408450704
7015,"text7015",0.911,"veryhigh","C","N","uae","uae",14,"N","Y","towards a personality understanding of information technology students and their it learning in uae university","education and information technologies",1.055,110,1,97,0.881818181818182
6424,"text6424",0.593,"medium","C","N","zimbabwe","zimbabwe",0,"N","Y","a framework to manage reluctance to bad news reporting on software projects in state universities in zimbabwe","education and information technologies",1.055,109,1,102,0.935779816513762
6452,"text6452",0.593,"medium","C","N","zimbabwe","zimbabwe",4,"N","Y","antecedents of university lecturers’ intentions to adopt information and communication technology in zimbabwe","education and information technologies",1.055,109,1,102,0.935779816513762
8877,"text8877",0.597,"medium","C","N","eswatini","eswatini",2,"N","Y","a framework for archives and records management education in an open distance e-learning environment in eswatini","education for information",0.874,112,1,105,0.9375
8879,"text8879",0.895,"veryhigh","C","N","italy","pisa",4,"N","Y","educational ecosystems for information science: the case of the university of pisa","education for information",0.874,82,1,79,0.963414634146341
8934,"text8934",0.831,"veryhigh","C","N","kuwait","kuwait",5,"N","Y","information literacy among graduate students in kuwait university's college of education","education for information",0.874,88,1,49,0.556818181818182
8894,"text8894",0.961,"veryhigh","C","N","norway","troms",0,"N","Y","documentation studies at the university of troms oslash a new way to educate librarians?","education for information",0.874,88,1,44,0.5
8893,"text8893",0.83,"veryhigh","M","Y","spain,brazil","spanish",1,"N","Y","academic libraries on the creative industries track: the perception of spanish and brazilian professionals","education for information",0.874,106,1,72,0.679245283018868
4181,"text4181",0.768,"high","C","N","china","chinese",14,"N","Y","privacy perception and protection on chinese social media: a case study of wechat","ethics and information technology",1.328,81,1,38,0.469135802469136
1393,"text1393",0.925,"veryhigh","C","N","south korea","south",2,"N","Y","it-leveraged network value cocreation: a case study of the value cocreation process and value capture in the south korean broadcast advertising industry","european journal of information systems",2.201,152,1,110,0.723684210526316
1165,"text1165",0.951,"veryhigh","C","N","australia","australian",20,"N","Y","assessing information security risks in the cloud: a case study of australian local government authorities","government information quarterly",2.439,106,1,68,0.641509433962264
1193,"text1193",0.855,"veryhigh","C","N","chile","chile",2,"N","Y","ideology beyond partisanship: the behavior of judges on freedom of information cases in chile","government information quarterly",2.439,93,1,89,0.956989247311828
1131,"text1131",0.768,"high","C","N","china","chinese",2,"N","Y","weibo diplomacy: foreign embassies communicating on chinese social media","government information quarterly",2.439,72,1,53,0.736111111111111
1112,"text1112",0.796,"high","R","N","eu","european",4,"N","Y","do nudgers need budging? a comparative analysis of european smart meter implementation","government information quarterly",2.439,86,1,52,0.604651162790698
1280,"text1280",0.796,"high","R","N","eu","european",13,"N","Y","the use of youtube in western european municipalities","government information quarterly",2.439,53,1,31,0.584905660377358
1117,"text1117",0.94,"veryhigh","C","N","finland","finnish",1,"N","Y","records management as invisible work: a study of finnish municipalities","government information quarterly",2.439,71,1,50,0.704225352112676
1144,"text1144",0.633,"medium","C","N","india","punjab",33,"N","Y","can twitter analytics predict election outcome? an insight from 2017 punjab assembly elections","government information quarterly",2.439,94,1,70,0.74468085106383
1174,"text1174",0.895,"veryhigh","C","N","italy","italian",34,"N","Y","government as a platform, orchestration, and public value creation: the italian case","government information quarterly",2.439,84,1,73,0.869047619047619
1212,"text1212",0.925,"veryhigh","C","N","south korea","korean",20,"N","Y","information privacy concerns and demographic characteristics: data from a korean media panel survey","government information quarterly",2.439,99,1,75,0.757575757575758
1214,"text1214",0.925,"veryhigh","C","N","south korea","korean",22,"N","Y","collaborative accountability for sustainable public health: a korean perspective on the effective use of ict-based health risk communication","government information quarterly",2.439,140,1,63,0.45
1102,"text1102",0.905,"veryhigh","C","N","spain","majorca",11,"N","Y","user roles for emergency management in social media: understanding actors' behavior during the 2018 majorca island flash floods","government information quarterly",2.439,127,1,101,0.795275590551181
1209,"text1209",0.905,"veryhigh","C","N","spain","andalusian",63,"N","Y","twitter as a tool for citizen engagement: an empirical study of the andalusian municipalities","government information quarterly",2.439,93,1,69,0.741935483870968
1233,"text1233",0.905,"veryhigh","C","N","spain","spanish",11,"N","Y","the impact of explanatory factors on a bidimensional model of transparency in spanish local government","government information quarterly",2.439,102,1,79,0.774509803921569
1195,"text1195",0.929,"veryhigh","C","N","uk","gibraltar",9,"N","Y","regulation as both enabler of technology use and global competitive tool: the gibraltar case","government information quarterly",2.439,92,1,79,0.858695652173913
1217,"text1217",0.929,"veryhigh","C","N","uk","uk",11,"N","Y","resilience orchestration and resilience facilitation: how government can orchestrate the whole uk ports market with limited resources – the case of uk ports resilience","government information quarterly",2.439,167,1,96,0.574850299401198
1261,"text1261",0.929,"veryhigh","C","N","uk","uk",6,"N","Y","public engagement with uk government data science: propositions from a literature review of public engagement on new technologies","government information quarterly",2.439,129,1,24,0.186046511627907
8938,"text8938",0.796,"high","R","N","eu","irish",0,"N","Y","the international collaborations of shane godbolt: eahil, icml and irish health science libraries","health information and libraries journal",0.869,97,1,68,0.701030927835051
9002,"text9002",0.535,"low","C","N","nigeria","nigeria",10,"N","Y","use of the internet as a source for reproductive health information seeking among adolescent girls in secondary schools in enugu, nigeria","health information and libraries journal",0.869,137,1,131,0.956204379562044
9023,"text9023",0.929,"veryhigh","C","N","uk","england",0,"N","Y","ebook management in nhs libraries in the north of england: perceptions and practice","health information and libraries journal",0.869,83,1,51,0.614457831325301
11044,"text11044",0.547,"low","R","N","africa","africa",7,"N","Y","knowledge and use of self-archiving options among academic librarians working in universities in africa","information and learning science",0.688,103,1,98,0.951456310679612
11032,"text11032",0.661,"medium","C","n","bangladesh","dhaka",5,"N","Y","information security behaviour of smartphone users: an empirical study on the students of university of dhaka, bangladesh","information and learning science",0.688,121,1,105,0.867768595041322
11047,"text11047",0.744,"high","M","Y","brazil,russia,india,china","brics",6,"N","Y","library and information science research in brics countries","information and learning science",0.688,59,1,45,0.76271186440678
11024,"text11024",0.615,"medium","C","N","namibia","namibian",1,"N","Y","learners’ perceptions on online library resources at namibian college of open learning","information and learning science",0.688,86,1,54,0.627906976744186
11036,"text11036",0.615,"medium","C","N","namibia","namibian",0,"N","Y","the teaching of information communication in namibian schools","information and learning science",0.688,61,1,46,0.754098360655738
11042,"text11042",0.615,"medium","C","N","namibia","namibian",6,"N","Y","providing digital reference services: a namibian case study","information and learning science",0.688,59,1,41,0.694915254237288
11004,"text11004",0.535,"low","C","N","nigeria","nigeria",2,"N","Y","internet literacy skills of community pharmacists in lagos state, nigeria","information and learning science",0.688,73,1,67,0.917808219178082
10924,"text10924",0.866,"veryhigh","C","N","portugal","portuguese",5,"N","Y","acceptance and use of information technology: context of portuguese universities","information and learning science",0.688,80,1,58,0.725
11053,"text11053",0.929,"veryhigh","C","N","uk","sheffield",4,"N","Y","supporting the employability agenda in university libraries: a case study from the university of sheffield","information and learning science",0.688,106,1,98,0.924528301886792
