id,doc_id,HDI,HDI_Level,CountryRegionMulti,Averaged,GPE,token,Citations,False_Positive,False_Negative,Titles,Journals,SJR,titles_cnt,titles_has_country
10891,text10891,0.951,veryhigh,C,N,australia,australia,1,N,Y,the shifting significance of child endowment records at the national archives of australia,archival science,0.714,90,1
10902,text10902,0.941,veryhigh,C,N,netherlands,dutch,0,N,Y,the dutch comptoir as information centre,archival science,0.714,40,1
10866,text10866,0.822,veryhigh,C,N,russia,russian,0,N,Y,two archives of the russian revolution,archival science,0.714,38,1
10911,text10911,0.905,veryhigh,C,N,spain,spanish,10,N,Y,spanish historic archives’ use of websites as a management transparency vehicle,archival science,0.714,79,1
13049,text13049,0.937,veryhigh,C,N,belgium,flanders,3,N,Y,how arbitrary are the weights assigned to books in performance-based research funding? an empirical assessment of the weight and size of monographs in flanders,aslib journal of information management,0.535,159,1
12990,text12990,0.768,high,C,N,china,chinese,2,N,Y,task design and assignment of full-text generation on mass chinese historical archives in digital humanities: a crowdsourcing approach,aslib journal of information management,0.535,134,1
12987,text12987,0.796,high,R,N,eu,europe,3,N,Y,reference publication year spectroscopy (rpys) of computer science papers from eastern europe,aslib journal of information management,0.535,93,1
13027,text13027,0.942,veryhigh,C,N,germany,german,6,N,Y,information dissemination related to the sustainable development goals on german local governmental websites,aslib journal of information management,0.535,108,1
12989,text12989,0.705,high,C,N,indonesia,indonesian,11,N,Y,crowdfunding in digital humanities: some evidence from indonesian social enterprises,aslib journal of information management,0.535,84,1
12969,text12969,NA,NA,NA,NA,NA,nordic,3,N,Y,open data and its peers: understanding promising harbingers from nordic europe,aslib journal of information management,0.535,78,1
12956,text12956,0.535,low,C,N,nigeria,nigeria,3,N,Y,“being on the wrong side of the digital divide”: seeking technological interventions for education in northeast nigeria,aslib journal of information management,0.535,119,1
12979,text12979,0.713,high,C,N,south africa,witwatersrand,8,N,Y,assessment of the appraisal of records: case of the university of witwatersrand and the university of venda,aslib journal of information management,0.535,107,1
13037,text13037,0.905,veryhigh,C,N,spain,spanish,8,N,Y,relation between internet financial information disclosure and internal control in spanish local governments,aslib journal of information management,0.535,108,1
13007,text13007,0.921,veryhigh,C,N,us,americans,2,N,Y,promoting access to health information: a method to support older african americans with diabetes,aslib journal of information management,0.535,97,1
1536,text1536,0.774,high,C,N,iran,persian,8,N,Y,mapping the political landscape of persian twitter: the case of 2013 presidential election,big data and society,2.04,90,1
1514,text1514,NA,NA,NA,NA,NA,nordic,14,N,Y,the nordic data imaginary,big data and society,2.04,25,1
1527,text1527,0.822,veryhigh,C,N,russia,russian,3,N,Y,geopolitics of reproduction: investigating technological mediation of maternity tourism on the russian web,big data and society,2.04,106,1
12317,text12317,0.929,veryhigh,C,N,uk,uk,11,N,Y,determinants of perceived information need for emerging ict adoption: a study of uk small service businesses,bottom line,0.563,108,1
12796,text12796,0.873,veryhigh,M,Y,"china,japan,korea",chinese,0,N,Y,"assessing repetitive work when processing chinese, japanese, and korean materials",collection management,0.536,81,1
12798,text12798,0.921,veryhigh,C,N,us,colorado,1,N,Y,the suggest a library purchase program at the university of colorado boulder,collection management,0.536,76,1
6144,text6144,0.749,high,R,N,asia,asia,4,N,Y,library user education as a window to understand inquiry-based learning in the context of higher education in asia: a comparative study between peking university and the university of tsukuba,college and research libraries,1.113,191,1
6153,text6153,0.936,veryhigh,C,N,canada,canadian,2,N,Y,academic freedom and librarians’ research and scholarship in canadian universities,college and research libraries,1.113,82,1
6129,text6129,0.749,high,R,N,east asia,east,3,N,Y,citing east asia: a citation study on the use of east asian materials in east asian studies dissertations,college and research libraries,1.113,105,1
8356,text8356,0.768,high,C,N,china,chinese,8,N,Y,modeling chinese teachers' attitudes toward using technology for teaching with a sem approach,computers in the schools,0.919,93,1
8349,text8349,0.875,veryhigh,C,N,saudi arabia,saudi,7,N,Y,exploring saudi computer science teachers’ conceptual mastery level of computational thinking skills,computers in the schools,0.919,100,1
8348,text8348,0.838,veryhigh,C,N,turkey,turkey,7,N,Y,"an investigation of cyber wellness awareness: turkey secondary school students, teachers, and parents",computers in the schools,0.919,101,1
6732,text6732,0.547,low,R,N,africa,sub,14,N,Y,enhancing ict for quality education in sub-saharan africa,education and information technologies,1.055,57,1
6481,text6481,0.773,high,M,Y,"asia,eu",asia,24,N,Y,self-reported tpack of teacher educators across six countries in asia and europe,education and information technologies,1.055,80,1
6815,text6815,0.951,veryhigh,C,N,australia,australian,13,N,Y,design of a mobile-based learning management system for incorporating employment demands: case context of an australian university,education and information technologies,1.055,130,1
6774,text6774,0.875,veryhigh,C,N,bahrain,bahrain,7,N,Y,measurement of e-services quality: an empirical study of university of bahrain,education and information technologies,1.055,78,1
6441,text6441,0.895,veryhigh,C,N,czech republic,czecha,1,N,Y,the influence of the nearpod application on learning social geography in a grammar school in czecha,education and information technologies,1.055,99,1
6878,text6878,0.73,high,C,N,fiji,fiji,3,N,Y,what’s your status? investigating the effects of social media on the students of fiji national university,education and information technologies,1.055,105,1
6749,text6749,0.633,medium,C,N,india,indian,18,N,Y,factors affecting cloud computing adoption in the indian school education system,education and information technologies,1.055,80,1
6537,text6537,0.705,high,C,N,indonesia,indonesian,43,N,Y,the role of tpack in affecting pre-service language teachers’ ict integration during teaching practices: indonesian context,education and information technologies,1.055,123,1
6412,text6412,0.72,high,C,N,jordan,zataari,8,N,Y,whatsapp supported language teacher development: a case study in the zataari refugee camp,education and information technologies,1.055,89,1
6918,text6918,0.72,high,C,N,jordan,jordan,2,N,Y,social media networks and pedagogy at the university of jordan,education and information technologies,1.055,62,1
6645,text6645,0.831,veryhigh,C,N,kuwait,kuwaiti,4,N,Y,the effectiveness of using interactive white boards in improving the arabic listening skills of undergraduates majoring in arabic language at kuwaiti universities,education and information technologies,1.055,162,1
6444,text6444,0.692,medium,C,N,kyrgyzstan,kyrgyz,4,N,Y,kyrgyz learners’ and teachers’ experiences and perceptions related to ict use in high school courses,education and information technologies,1.055,100,1
6859,text6859,0.803,veryhigh,C,N,malaysia,malaysian,28,N,Y,decision to adopt online collaborative learning tools in higher education: a case of top malaysian universities,education and information technologies,1.055,111,1
6874,text6874,NA,NA,NA,NA,NA,nordic,3,N,Y,use of information and communications technology by teachers and students in biomedical laboratory science educations in the nordic countries,education and information technologies,1.055,141,1
6425,text6425,0.535,low,C,N,nigeria,nigerian,1,N,Y,critical factors for implementing effective information governance in nigerian universities: a case study investigation,education and information technologies,1.055,119,1
6480,text6480,0.535,low,C,N,nigeria,nigeria,14,N,Y,augmented reality instructional tool in enhancing geography learners academic performance and retention in osun state nigeria,education and information technologies,1.055,125,1
7014,text7014,0.535,low,C,N,nigeria,nigeria,17,N,Y,"the use of electronic resources by academic staff at the university of ilorin, nigeria",education and information technologies,1.055,86,1
6525,text6525,0.816,veryhigh,C,N,oman,omani,9,N,Y,what leads to social learning? students’ attitudes towards using social media applications in omani higher education,education and information technologies,1.055,116,1
6772,text6772,0.875,veryhigh,C,N,saudi arabia,saudi,4,N,Y,faculty at saudi electronic university attitudes toward using augmented reality in education,education and information technologies,1.055,92,1
6451,text6451,0.713,high,C,N,south africa,south,17,N,Y,beyond limits: lecturers’ reflections on moodle uptake in south african universities,education and information technologies,1.055,84,1
6582,text6582,0.713,high,C,N,south africa,south,34,N,Y,is moodle or whatsapp the preferred e-learning platform at a south african university? first-year students’ experiences,education and information technologies,1.055,119,1
6791,text6791,0.713,high,C,N,south africa,south,0,N,Y,free doesn’t mean access to the wi-fi facility: the south african experience,education and information technologies,1.055,76,1
6494,text6494,0.8,veryhigh,C,N,thailand,thailand,18,N,Y,does ict familiarity always help promote educational outcomes? empirical evidence from pisa-thailand,education and information technologies,1.055,100,1
6428,text6428,0.838,veryhigh,C,N,turkey,turkish,0,N,Y,fostering intuitive competence in l2 for a better performance in eap writing through fraze.it in a turkish context,education and information technologies,1.055,113,1
6462,text6462,0.838,veryhigh,C,N,turkey,turkish,3,N,Y,a critical deconstruction of computer-based test application in turkish state university,education and information technologies,1.055,88,1
